year,financial_buffer_score,operating_buffer_score,governance_credit_buffer_score,network_resilience_score,composite_resilience_score,resilience_level,weakest_dimension,priority_action,financial_cashflow_component,financial_leverage_component,financial_interest_component,financial_cash_interest_component,operating_revenue_growth_component,operating_profit_growth_component,operating_receivable_component,operating_contract_asset_component,governance_high_severity_component,governance_external_amount_component,governance_compliance_component,governance_evidence_quality_component,network_event_count_component,network_weighted_degree_component,network_betweenness_component,network_pagerank_component,event_count_all,high_severity_event_count,year_weighted_degree,year_betweenness_centrality,year_pagerank
2021,50.0,64.06,76.25,100.0,72.58,中等偏强,财务缓冲,滚动现金流预测、优化债务期限结构、提高利息覆盖与经营现金流安全垫。,0.0,100.0,100.0,0.0,50.0,50.0,66.18,90.07,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,2,1,2.0,0.0,0.01
2022,93.41,97.27,76.74,100.0,91.86,较强缓冲,治理信用缓冲,对高严重度诉讼、执行、处罚和候选样本建立逐条复核与闭环整改台账。,100.0,97.97,75.68,100.0,89.1,100.0,100.0,100.0,100.0,2.47,100.0,100.0,100.0,100.0,100.0,100.0,2,1,2.0,0.0,0.01
2023,68.27,75.86,49.74,20.0,53.47,重点修复,网络韧性,降低高中心性子公司和事件节点风险暴露，优先处理跨年份、跨风险类型的桥接节点。,71.09,73.42,67.57,61.01,100.0,80.19,75.91,47.34,100.0,17.45,0.0,0.0,0.0,0.0,0.0,0.0,8,1,8.0,0.27,0.02
2024,24.51,6.23,60.57,32.69,31.0,低位修复,经营缓冲,压实项目毛利、结算和回款责任，控制合同资产和应收账款占用。,46.88,16.44,17.12,17.61,0.0,3.85,18.98,2.08,0.0,65.33,100.0,75.0,33.33,33.33,51.36,45.42,6,4,6.0,0.13,0.02
2025,20.63,3.43,75.83,32.53,33.11,低位修复,经营缓冲,压实项目毛利、结算和回款责任，控制合同资产和应收账款占用。,55.47,0.0,0.0,27.04,13.73,0.0,0.0,0.0,33.33,100.0,100.0,75.0,16.67,16.67,60.92,35.06,7,3,7.0,0.11,0.02
