year,revenue_100m_rmb,revenue_growth_pct,net_profit_parent_100m_rmb,net_profit_parent_growth_pct,net_profit_parent_ex_nonrecurring_100m_rmb,operating_cash_flow_100m_rmb,operating_cash_flow_to_revenue_pct,equity_parent_100m_rmb,total_assets_100m_rmb,total_assets_growth_pct,asset_liability_ratio_pct,accounts_receivable_100m_rmb,accounts_receivable_to_assets_pct,contract_assets_100m_rmb,contract_assets_to_assets_pct,interest_coverage,cash_interest_coverage,ebitda_interest_coverage,source_files,source_note
2021,10704.17,,276.18,,259.14,130.69,1.22,2752.48,13618.3,,73.68,1221.2,8.97,1491.42,10.95,4.09,2.81,4.99,2021_annual_report.pdf,2023 and 2022 annual report restated/comparative tables
2022,11515.01,7.57,312.73,13.24,282.47,435.52,3.78,3012.05,16132.82,18.46,73.77,1222.38,7.58,1697.35,10.52,3.82,4.4,4.58,2022_annual_report.pdf,2024 and 2023 annual report restated tables
2023,12608.41,9.5,334.83,7.07,308.72,383.63,3.04,3325.34,18294.39,13.4,74.86,1568.52,8.57,2341.91,12.8,3.73,3.78,4.53,2023_annual_report.pdf,"2025, 2024 and 2023 annual report restated tables"
2024,11574.39,-8.2,278.87,-16.71,243.25,280.51,2.42,3547.14,22564.14,23.34,77.39,2461.94,10.91,3331.2,14.76,3.17,3.09,4.04,2024_annual_report.pdf,2025 annual report and 2024 annual report restated tables
2025,10906.26,-5.77,228.92,-17.91,176.64,287.72,2.64,3710.63,24705.81,9.49,78.12,2888.78,11.69,3668.45,14.85,2.98,3.24,4.18,2025_annual_report.pdf,2025 annual report; 2025 bond section; management discussion asset analysis
