year,risk_category,risk_label,term,term_source,exact_mentions,jieba_token_count,jieba_weight
2021,compliance,合规风险,管理体系,word2vec,5,5,0.0
2021,compliance,合规风险,操守,word2vec,1,1,0.0
2021,market,市场风险,市场,seed,155,140,0.004238
2021,market,市场风险,房地产,seed,159,158,0.007847
2021,market,市场风险,汇率,seed,26,26,0.0
2021,market,市场风险,海外,seed,36,36,0.0
2021,market,市场风险,竞争,seed,35,26,0.0
2021,market,市场风险,政策,seed,141,138,0.005691
2021,market,市场风险,投资,seed,951,804,0.028502
2021,market,市场风险,需求,seed,26,26,0.0
2021,market,市场风险,即期,word2vec,7,7,0.0
2021,market,市场风险,折算,word2vec,22,22,0.0
2021,market,市场风险,本位币,word2vec,6,6,0.0
2021,market,市场风险,无风险,word2vec,5,5,0.0
2021,market,市场风险,激烈,word2vec,3,2,0.0
2021,market,市场风险,市场占有率,word2vec,3,3,0.0
2021,market,市场风险,房地产业,word2vec,4,1,0.0
2021,market,市场风险,市场份额,word2vec,0,0,0.0
2021,market,市场风险,需求量,word2vec,0,0,0.0
2021,market,市场风险,金融市场,word2vec,2,2,0.0
2021,organizational_propagation,组织传导风险,子公司,seed,279,279,0.017441
2021,organizational_propagation,组织传导风险,担保,seed,135,133,0.008582
2021,organizational_propagation,组织传导风险,关联,seed,122,51,0.003397
2021,organizational_propagation,组织传导风险,差额补足,seed,10,10,0.0
2021,organizational_propagation,组织传导风险,集团,seed,841,0,0.0
2021,organizational_propagation,组织传导风险,控股,seed,56,56,0.003115
2021,organizational_propagation,组织传导风险,联营,seed,160,160,0.015043
2021,organizational_propagation,组织传导风险,合营,seed,128,128,0.011519
2021,organizational_propagation,组织传导风险,支付现金,word2vec,2,2,0.0
2021,organizational_propagation,组织传导风险,贷款额度,word2vec,1,1,0.0
2021,organizational_propagation,组织传导风险,关联方,word2vec,71,71,0.006293
2022,liquidity,流动性风险,现金流,seed,134,134,0.011223
2022,liquidity,流动性风险,资金,seed,170,167,0.007337
2022,liquidity,流动性风险,回款,seed,2,2,0.0
2022,liquidity,流动性风险,流动性,seed,17,17,0.0
2022,liquidity,流动性风险,短期债务,seed,0,0,0.0
2022,liquidity,流动性风险,融资,seed,288,120,0.006874
2022,liquidity,流动性风险,筹资,seed,20,19,0.0
2022,liquidity,流动性风险,到期,seed,101,101,0.006777
2022,liquidity,流动性风险,偿付,seed,9,9,0.0
2022,liquidity,流动性风险,收支,word2vec,1,1,0.0
2022,liquidity,流动性风险,本息,word2vec,0,0,0.0
2022,liquidity,流动性风险,库存现金,word2vec,4,4,0.0
2022,liquidity,流动性风险,现金结算,word2vec,1,1,0.0
2022,liquidity,流动性风险,现金额,word2vec,1,1,0.0
2022,liquidity,流动性风险,现金,word2vec,359,187,0.012413
2022,liquidity,流动性风险,自筹资金,word2vec,1,1,0.0
2022,liquidity,流动性风险,流动资金,word2vec,0,0,0.0
2022,liquidity,流动性风险,流动,word2vec,141,60,0.003928
2022,solvency,偿债风险,资产负债率,seed,10,10,0.0
2022,solvency,偿债风险,负债,seed,360,291,0.022361
2022,solvency,偿债风险,债券,seed,451,451,0.025688
2022,solvency,偿债风险,借款,seed,144,139,0.01091
2022,solvency,偿债风险,利息,seed,342,339,0.023386
2022,solvency,偿债风险,利息保障倍数,seed,3,3,0.0
2022,solvency,偿债风险,债务,seed,42,39,0.002454
2022,solvency,偿债风险,兑付,seed,85,85,0.007504
2022,solvency,偿债风险,票面价格,word2vec,8,8,0.0
2022,solvency,偿债风险,浮息,word2vec,1,1,0.0
2022,solvency,偿债风险,抵押借款,word2vec,5,5,0.0
2022,solvency,偿债风险,筹措,word2vec,1,1,0.0
2022,solvency,偿债风险,定息,word2vec,1,1,0.0
2022,solvency,偿债风险,公司债,word2vec,266,36,0.002583
2022,solvency,偿债风险,债权人,word2vec,2,2,0.0
2022,solvency,偿债风险,抵押物,word2vec,6,6,0.0
2022,solvency,偿债风险,续债,word2vec,43,1,0.0
2022,solvency,偿债风险,长短期,word2vec,1,1,0.0
2022,solvency,偿债风险,清偿债务,word2vec,0,0,0.0
2022,operation,营运风险,应收账款,seed,120,120,0.014079
2022,operation,营运风险,合同资产,seed,86,86,0.01009
2022,operation,营运风险,存货,seed,53,53,0.004332
2022,operation,营运风险,周转,seed,7,7,0.0
2022,operation,营运风险,结算,seed,31,30,0.0
2022,operation,营运风险,减值,seed,168,168,0.015025
2022,operation,营运风险,账龄,seed,13,13,0.0
2022,operation,营运风险,坏账,seed,110,110,0.009829
2022,operation,营运风险,跌价,word2vec,10,10,0.0
2022,operation,营运风险,预收款,word2vec,4,4,0.0
2022,operation,营运风险,库存商品,word2vec,5,5,0.0
2022,operation,营运风险,变现,word2vec,13,13,0.0
2022,operation,营运风险,准备,word2vec,269,247,0.012016
2022,operation,营运风险,第三阶段,word2vec,5,5,0.0
2022,operation,营运风险,应收,word2vec,371,118,0.010708
2022,operation,营运风险,第二阶段,word2vec,4,4,0.0
2022,operation,营运风险,第一阶段,word2vec,6,6,0.0
2022,operation,营运风险,应收款,word2vec,133,133,0.012821
2022,operation,营运风险,现金结算,word2vec,1,1,0.0
2022,operation,营运风险,预收,word2vec,13,9,0.0
