company_code,company_name,short_name,feature_year,label_year,financial_pressure_label_next_year,label_rule_score,label_reason,revenue_growth_pct,parent_net_profit_growth_pct,operating_cash_flow_to_revenue_pct,asset_liability_ratio_pct,current_ratio,quick_ratio,cash_ratio,gross_margin_pct,net_profit_margin_pct,roe_weighted_pct,receivable_turnover_days,inventory_turnover_days,payable_turnover_days,interest_coverage_proxy,log_revenue_100m,log_total_assets_100m
601390,中国中铁股份有限公司,中国中铁,2022,2023,0,1,流动比率不高于1,7.5551,13.2353,3.7822,73.7791,1.0288,0.7908,0.2848,9.8096,3.0366,12.13,38.1975,126.5568,122.4735,2.8702,9.353971341741834,9.688672968870906
601390,中国中铁股份有限公司,中国中铁,2023,2024,1,5,归母净利润同比下降超过10%；营业收入同比下降超过5%；资产负债率不低于75%；利息保障倍数代理不高于2；流动比率不高于1,9.4525,7.0665,3.0427,74.861,0.9951,0.7781,0.2408,10.0091,2.985,11.81,39.8433,131.8551,144.1398,2.2664,9.444285376984249,9.814404394525905
601390,中国中铁股份有限公司,中国中铁,2024,2025,1,5,归母净利润同比下降超过10%；营业收入同比下降超过5%；资产负债率不低于75%；利息保障倍数代理不高于2；流动比率不高于1,-8.165,-16.7132,2.4235,77.3916,0.9905,0.798,0.2054,9.8032,2.6574,9.09,62.68,178.0024,213.4659,1.5468,9.359114624686196,10.024161516540548
601618,中国冶金科工股份有限公司,中国中冶,2021,2022,0,0,,25.1071,6.5222,3.524,72.1442,1.1489,0.9765,0.1165,10.6152,2.3188,9.05,55.1315,119.4062,116.2575,4.3224,8.51853628905666,8.600743586110172
601618,中国冶金科工股份有限公司,中国中冶,2022,2023,1,3,归母净利润同比下降超过10%；经营现金流/营收不高于1%；利息保障倍数代理不高于2,18.3985,22.7012,3.0629,72.3404,1.1357,0.9285,0.1183,9.6432,2.1819,10.47,53.8544,114.2177,115.0973,4.7479,8.687389871411503,8.675039320366839
601618,中国冶金科工股份有限公司,中国中冶,2023,2024,1,4,归母净利润同比下降超过10%；营业收入同比下降超过5%；资产负债率不低于75%；利息保障倍数代理不高于2,6.9518,-15.6262,0.9295,74.6084,1.0787,0.9003,0.099,9.6887,1.7994,7.23,63.4607,122.2157,134.4377,1.5768,8.754586727699724,8.79740039652525
601618,中国冶金科工股份有限公司,中国中冶,2024,2025,1,3,归母净利润同比下降超过10%；营业收入同比下降超过5%；资产负债率不低于75%,-12.9121,-22.1956,1.4216,77.4341,1.0456,0.9138,0.0916,9.6882,1.4319,4.87,112.0225,156.622,207.7777,1.754,8.616359562910736,8.9972907055672
601668,中国建筑股份有限公司,中国建筑,2021,2022,0,2,经营现金流/营收不高于1%；利息保障倍数代理不高于2,17.1918,14.7438,0.7391,73.2112,1.3446,0.7931,0.2572,11.3456,4.1143,15.9,32.439,190.42,109.3792,0.5764,9.84840075612016,10.083899787735128
601668,中国建筑股份有限公司,中国建筑,2022,2023,0,2,经营现金流/营收不高于1%；利息保障倍数代理不高于2,8.5774,-1.1606,0.1863,74.3531,1.3117,0.7719,0.2346,10.4557,3.3679,13.94,34.25,191.0497,107.8863,0.1272,9.930690183125776,10.186032577926472
601668,中国建筑股份有限公司,中国建筑,2023,2024,1,4,归母净利润同比下降超过10%；资产负债率不低于75%；经营现金流/营收不高于1%；利息保障倍数代理不高于2,10.2419,6.5041,0.4869,74.8195,1.2883,0.7876,0.2256,9.8346,3.246,13.36,37.1937,190.8061,112.4119,0.3433,10.028192796552768,10.276230757736913
601668,中国建筑股份有限公司,中国建筑,2024,2025,1,4,归母净利润同比下降超过10%；资产负债率不低于75%；经营现金流/营收不高于1%；利息保障倍数代理不高于2,-3.4515,-14.8726,0.7235,75.7982,1.2938,0.8554,0.241,9.8579,2.8686,10.36,47.3049,214.4312,138.5846,0.4823,9.993069539342077,10.37032178956025
601669,中国电力建设股份有限公司,中国电建,2021,2022,0,2,资产负债率不低于75%；流动比率不高于1,40.7252,23.5036,3.7602,75.9749,1.0541,0.7805,0.1579,12.0711,2.6305,7.86,50.2314,143.0381,105.601,1.3041,8.64074268018917,9.283094427998961
601669,中国电力建设股份有限公司,中国电建,2022,2023,1,3,资产负债率不低于75%；利息保障倍数代理不高于2；流动比率不高于1,1.2305,15.9209,5.3935,76.8918,0.8798,0.8439,0.2143,12.2083,2.7435,9.91,63.6113,117.7711,131.6359,2.3581,8.652969811629854,9.249762987822667
601669,中国电力建设股份有限公司,中国电建,2023,2024,1,3,资产负债率不低于75%；利息保障倍数代理不高于2；流动比率不高于1,6.5019,13.2364,3.6534,77.506,0.8412,0.8097,0.1803,13.2268,2.8159,9.51,61.1201,87.4435,145.2616,1.5194,8.715952242668536,9.35414197003112
601669,中国电力建设股份有限公司,中国电建,2024,2025,1,3,归母净利润同比下降超过10%；资产负债率不低于75%；流动比率不高于1,4.0811,-7.1694,3.8727,78.9295,0.8826,0.8514,0.1906,13.187,2.4975,8.14,65.9579,101.8242,159.0637,1.6601,8.7559454899536,9.46433819672627
601800,中国交通建设股份有限公司,中国交建,2021,2022,1,3,经营现金流/营收不高于1%；利息保障倍数代理不高于2；流动比率不高于1,9.2808,11.0376,-1.841,71.8645,0.9469,0.825,0.1778,12.5216,3.4262,7.59,52.4871,122.2373,161.452,-0.6179,8.833362132570734,9.540513525248386
601800,中国交通建设股份有限公司,中国交建,2022,2023,0,2,利息保障倍数代理不高于2；流动比率不高于1,5.2573,7.0495,0.1577,71.8146,0.9325,0.8147,0.1725,11.7081,3.4645,7.57,50.8859,121.9968,163.7951,0.0198,8.884592226184605,9.62695179513318
601800,中国交通建设股份有限公司,中国交建,2023,2024,0,2,利息保障倍数代理不高于2；流动比率不高于1,5.1021,23.6354,1.5897,72.7383,0.9003,0.7848,0.1598,12.594,3.9852,8.87,52.9015,132.21,179.9787,0.5105,8.934348370277531,9.73181627959088
601800,中国交通建设股份有限公司,中国交建,2024,2025,1,5,归母净利润同比下降超过10%；营业收入同比下降超过5%；资产负债率不低于75%；利息保障倍数代理不高于2；流动比率不高于1,1.7431,-1.8146,1.6201,74.8253,0.9081,0.7905,0.1646,12.2861,3.9312,8.03,59.3416,150.6381,200.0233,0.537,8.951626636213332,9.830041745717928
601868,中国能源建设股份有限公司,中国能建,2021,2022,0,1,利息保障倍数代理不高于2,19.2326,39.257,2.7439,71.6875,1.1457,0.929,0.2267,13.1574,2.9777,8.55,60.3365,150.0459,144.7188,1.762,8.078437034892518,8.573503579116974
601868,中国能源建设股份有限公司,中国能建,2022,2023,0,2,资产负债率不低于75%；利息保障倍数代理不高于2,13.6751,20.2955,2.1662,74.8,1.1089,0.9292,0.2231,12.4195,2.8445,8.48,63.8489,153.8915,163.0489,1.0332,8.206572700209351,8.801848688405661
601868,中国能源建设股份有限公司,中国能建,2023,2024,0,2,资产负债率不低于75%；利息保障倍数代理不高于2,10.8178,2.0702,2.3363,75.9623,1.0217,0.8588,0.1864,12.6358,2.7721,7.88,67.042,168.4465,187.4561,0.9664,8.309263322907409,8.966044683186409
601868,中国能源建设股份有限公司,中国能建,2024,2025,1,4,归母净利润同比下降超过10%；资产负债率不低于75%；利息保障倍数代理不高于2；流动比率不高于1,7.5563,5.1345,2.5251,76.3144,1.023,0.8518,0.2095,12.407,2.7074,7.74,67.3715,169.2604,184.3921,1.1015,8.382090278886626,9.070049039498807
