period,report_type,title,date,source,url,filename
2026Q1,quarterly,中国中铁2026年第一季度报告,2026-04-30,中国中铁股份有限公司官网,https://www.crec.cn/web/attachDir/2026/05/2026050909092597013.pdf,2026_q1_report.pdf
2025,rating,中国中铁股份有限公司2025年跟踪评级报告,2025-05-07,联合资信评估股份有限公司,https://www.lhratings.com/reports/B0411-P76587-2024-GZ2025.pdf,2025_lianhe_rating_report.pdf
2025,annual,中国中铁2025年年度报告,2026-03-31,中国中铁股份有限公司官网,https://www.crec.cn/web/attachDir/2026/03/2026033108390191131.pdf,2025_annual_report.pdf
2024,annual,中国中铁2024年年度报告,2025-03-29,中国中铁股份有限公司官网,https://www.crec.cn/web/fileDir/resource/cms/article/10090220/10287887/2025-019 中国中铁2024年年度报告.pdf,2024_annual_report.pdf
2023,annual,中国中铁2023年年度报告,2024-03-29,中国中铁股份有限公司官网,https://www.crec.cn/web/fileDir/resource/cms/article/10090220/10269301/2024-10 中国中铁2023年年度报告.pdf,2023_annual_report.pdf
2022,annual,中国中铁2022年年度报告,2023-03-31,中国中铁股份有限公司官网,https://www.crec.cn/web/fileDir/resource/cms/article/10090220/10247328/中国中铁2022年年度报告.pdf,2022_annual_report.pdf
2021,annual,中国中铁2021年年度报告,2022-03-31,中国中铁股份有限公司官网,https://www.crec.cn/web/fileDir/resource/cms/article/10090220/10193023/中国中铁2021年年度报告（A股中文简体）.pdf,2021_annual_report.pdf
