year,source_file,line_no,risk_category,risk_label,matched_term,snippet
2024,2024_annual_report.txt,2790,organizational_propagation,组织传导风险,集团,赵 斌 年 3 月任中铁广州工程局集团有限公司副总经理（主持行政工作）、党委副书记、董事；2018 年 3 月至 2021 年 5 月任中铁广州工程局集
2024,2024_annual_report.txt,2841,organizational_propagation,组织传导风险,集团,文利民 中国航天科技集团有限公司 外部董事 2020 年 12 月 ——
2024,2024_annual_report.txt,2842,organizational_propagation,组织传导风险,集团,文利民 中国一重集团有限公司 外部董事 2020 年 12 月 ——
2024,2024_annual_report.txt,2843,market,市场风险,投资,修 龙 中国绿发投资集团有限公司 外部董事 2020 年 11 月 ——
2024,2024_annual_report.txt,2843,organizational_propagation,组织传导风险,集团,修 龙 中国绿发投资集团有限公司 外部董事 2020 年 11 月 ——
2024,2024_annual_report.txt,2844,organizational_propagation,组织传导风险,集团,孙力实 中国林业集团有限公司 外部董事 2024 年 6 月 ——
2024,2024_annual_report.txt,2846,market,市场风险,房地产,上海豪都房地产开发经营有 ——
2024,2024_annual_report.txt,2849,organizational_propagation,组织传导风险,集团,孔 遁 中国铁路设计集团有限公司 董事、副董事长 2020 年 8 月 ——
2024,2024_annual_report.txt,2850,organizational_propagation,组织传导风险,集团,王新华 中国铁路设计集团有限公司 监事 2020 年 8 月 ——
2024,2024_annual_report.txt,2861,market,市场风险,政策,政策及架构向董事会提出建议，制定高级管理人员的薪酬待遇方
2024,2024_annual_report.txt,2883,compliance,合规风险,执行,董事、监事和高级管理人员报 报告期内，除非执行董事文利民在国资委取酬外，其余公司董事、
