year,source_file,line_no,risk_category,risk_label,matched_term,snippet
2024,2024_annual_report.txt,3475,market,市场风险,需求,根据《公司法》和《公司章程》相关规定，结合股东回报及公司业务发展对资金需求等因素
2024,2024_annual_report.txt,3476,profitability,盈利风险,利润,的考虑，按照公司第六届董事会第九次会议审议通过的《公司 2024 年度利润分配预案》，利润分
2024,2024_annual_report.txt,3477,profitability,盈利风险,利润,配预案具体内容为：根据公司 2024 年度经审计的财务报告，2024 年年初母公司未分配利润为
2024,2024_annual_report.txt,3478,profitability,盈利风险,净利润,"100,019,534,183.04 元，加上本年度母公司实现的净利润 12,439,517,947.28 元，扣除 2024 年"
2024,2024_annual_report.txt,3478,profitability,盈利风险,利润,"100,019,534,183.04 元，加上本年度母公司实现的净利润 12,439,517,947.28 元，扣除 2024 年"
2024,2024_annual_report.txt,3479,solvency,偿债风险,利息,"度现金分红及永续债利息 6,338,107,166.22 元，扣除按照母公司实现净利润 10%提取的法定盈余"
2024,2024_annual_report.txt,3479,profitability,盈利风险,净利润,"度现金分红及永续债利息 6,338,107,166.22 元，扣除按照母公司实现净利润 10%提取的法定盈余"
2024,2024_annual_report.txt,3479,profitability,盈利风险,利润,"度现金分红及永续债利息 6,338,107,166.22 元，扣除按照母公司实现净利润 10%提取的法定盈余"
2024,2024_annual_report.txt,3480,profitability,盈利风险,利润,"公积金 1,243,951,794.72 元后，截至 2024 年 12 月 31 日，母公司可供股东分配的利润为"
2024,2024_annual_report.txt,3485,profitability,盈利风险,利润,"100,473,093,581.80 元，转入下一年度。本次利润分配将以实施权益分派股权登记日登记的总股"
2024,2024_annual_report.txt,3488,profitability,盈利风险,利润,4.2024 年利润分配情况说明
2024,2024_annual_report.txt,3489,profitability,盈利风险,净利润,2024 年度公司拟按当年合并报表归属于上市公司股东净利润的 15.79%进行现金分红，比例低
2024,2024_annual_report.txt,3489,profitability,盈利风险,利润,2024 年度公司拟按当年合并报表归属于上市公司股东净利润的 15.79%进行现金分红，比例低
2024,2024_annual_report.txt,3490,profitability,盈利风险,净利润,于当年归属于上市公司股东净利润的 30%的主要原因如下：
2024,2024_annual_report.txt,3490,profitability,盈利风险,利润,于当年归属于上市公司股东净利润的 30%的主要原因如下：
2024,2024_annual_report.txt,3492,market,市场风险,需求,2024 年建筑业呈现高位降速、结构调整、理性发展、分化加剧特征，基础设施建设需求总体
2024,2024_annual_report.txt,3493,project,项目风险,项目,平稳，但细分领域出现分化且不均衡，传统建筑领域增量空间收窄，“两重”建设项目、新基建
2024,2024_annual_report.txt,3494,liquidity,流动性风险,回款,加速推进，地方化债、企业回款等压力依然存在。公司所处的建筑业为充分竞争行业，市场竞争
2024,2024_annual_report.txt,3494,market,市场风险,市场,加速推进，地方化债、企业回款等压力依然存在。公司所处的建筑业为充分竞争行业，市场竞争
2024,2024_annual_report.txt,3494,market,市场风险,竞争,加速推进，地方化债、企业回款等压力依然存在。公司所处的建筑业为充分竞争行业，市场竞争
2024,2024_annual_report.txt,3495,solvency,偿债风险,资产负债率,激烈，行业毛利率普遍较低，行业资产负债率较高，应收账款和合同资产金额较大，所属施工项
2024,2024_annual_report.txt,3495,solvency,偿债风险,负债,激烈，行业毛利率普遍较低，行业资产负债率较高，应收账款和合同资产金额较大，所属施工项
2024,2024_annual_report.txt,3495,operation,营运风险,应收账款,激烈，行业毛利率普遍较低，行业资产负债率较高，应收账款和合同资产金额较大，所属施工项
2024,2024_annual_report.txt,3495,operation,营运风险,合同资产,激烈，行业毛利率普遍较低，行业资产负债率较高，应收账款和合同资产金额较大，所属施工项
2024,2024_annual_report.txt,3495,profitability,盈利风险,毛利率,激烈，行业毛利率普遍较低，行业资产负债率较高，应收账款和合同资产金额较大，所属施工项
2024,2024_annual_report.txt,3503,liquidity,流动性风险,资金,目具有点多、面广、单体体量大、生产周期长的行业特点，用于维持日常经营周转的资金需求量
2024,2024_annual_report.txt,3503,operation,营运风险,周转,目具有点多、面广、单体体量大、生产周期长的行业特点，用于维持日常经营周转的资金需求量
2024,2024_annual_report.txt,3503,market,市场风险,需求,目具有点多、面广、单体体量大、生产周期长的行业特点，用于维持日常经营周转的资金需求量
