company_code,company_name,year,revenue_growth_pct,net_profit_parent_growth_pct,operating_cash_flow_to_revenue_pct,asset_liability_ratio_pct,accounts_receivable_to_assets_pct,contract_assets_to_assets_pct,interest_coverage,cash_interest_coverage,text_compliance_score,text_liquidity_score,text_market_score,text_operation_score,text_organizational_propagation_score,text_profitability_score,text_project_score,text_risk_score_total,text_solvency_score,annual_report_amount_rmb,annual_report_event_count,compliance_event_count,event_amount_rmb_all,event_count_all,event_count_core,high_severity_event_count,litigation_like_amount_rmb,litigation_like_event_count,organizational_propagation_event_count,event_count_candidate,event_count_verify,wenshu_event_count,execution_event_count,qcc_event_count,execution_like_event_count,wenshu_amount_rmb,execution_amount_rmb,qcc_amount_rmb,execution_like_amount_rmb,financial_pressure_label,financial_pressure_rule_score,label_reason,liquidity_event_count,operation_event_count,profitability_event_count,project_event_count,solvency_event_count,rating_report_amount_rmb,rating_report_event_count
601390,中国中铁股份有限公司,2021,,,1.22,73.68,8.97,10.95,4.09,2.81,68.1000,89.9200,91.8300,95.5200,95.1900,85.6400,84.5000,710.7000,100.0000,158645468000,2,1,158645468000,2,2,1,5255606000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
601390,中国中铁股份有限公司,2022,7.57,13.24,3.78,73.77,7.58,10.52,3.82,4.4,68.1000,91.3000,93.1400,96.5400,97.3900,87.1500,82.9600,716.5800,100.0000,159633878000,2,1,159633878000,2,2,1,5115724000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
601390,中国中铁股份有限公司,2023,9.5,7.07,3.04,74.86,8.57,12.8,3.73,3.78,67.4700,92.9400,94.4600,100.0000,99.1200,88.2600,84.2400,722.3900,95.9000,137701779000,2,4,137719914225,8,4,1,4328631252,3,1,3,1,2,4,0,4,1630252,16504974,0,16504974,1,2,年度风险事件样本不少于4条；执行类金额不低于1000万元,3,,,,,,
601390,中国中铁股份有限公司,2024,-8.2,-16.71,2.42,77.39,10.91,14.76,3.17,3.09,66.4400,90.1300,90.5700,91.2600,97.0200,84.5200,84.8200,704.7600,100.0000,447194573000,5,1,447196999785,6,5,4,2578405785,2,1,1,0,1,0,0,0,2426785,0,0,0,1,5,资产负债率不低于77%；归母净利润同比下降超过10%；利息保障倍数不高于3.2；合同资产占总资产比例不低于14%；年度风险事件样本不少于4条,,1,1,1,1,,
601390,中国中铁股份有限公司,2025,-5.77,-17.91,2.64,78.12,11.69,14.85,2.98,3.24,63.6700,88.6600,91.5700,90.6700,99.4200,83.3500,83.9500,701.2900,100.0000,434181794000,5,1,434195394000,7,6,3,1753282000,1,1,1,0,0,1,0,1,0,13600000,0,13600000,1,6,资产负债率不低于77%；归母净利润同比下降超过10%；利息保障倍数不高于3.2；合同资产占总资产比例不低于14%；年度风险事件样本不少于4条；执行类金额不低于1000万元,1,1,1,,2,0,1
